"key","pref","city","kcity","rcom","pref_name","city_name","kcity_name","rcom_name","JAうま","JAえひめ中央","JAえひめ南","JAえひめ未来","JAおちいまばり","JAにしうわ","JAひがしうわ","JA今治立花","JA周桑","JA愛媛たいき","JA松山市"
"3820102001","38","201","02","001","愛媛県","松山市","興居島村","御手洗",0,1,0,0,0,0,0,0,0,0,1
"3820102002","38","201","02","002","愛媛県","松山市","興居島村","泊",0,1,0,0,0,0,0,0,0,0,1
"3820102003","38","201","02","003","愛媛県","松山市","興居島村","船越",0,1,0,0,0,0,0,0,0,0,1
"3820102004","38","201","02","004","愛媛県","松山市","興居島村","釣島",0,1,0,0,0,0,0,0,0,0,1
"3820102005","38","201","02","005","愛媛県","松山市","興居島村","鷲ケ巣",0,1,0,0,0,0,0,0,0,0,1
"3820102006","38","201","02","006","愛媛県","松山市","興居島村","由良",0,1,0,0,0,0,0,0,0,0,1
"3820102007","38","201","02","007","愛媛県","松山市","興居島村","北浦",0,1,0,0,0,0,0,0,0,0,1
"3820102008","38","201","02","008","愛媛県","松山市","興居島村","門田",0,1,0,0,0,0,0,0,0,0,1
"3820102009","38","201","02","009","愛媛県","松山市","興居島村","馬磯",0,1,0,0,0,0,0,0,0,0,1
"3820103001","38","201","03","001","愛媛県","松山市","余土村","市坪",0,1,0,0,0,0,0,0,0,0,1
"3820103002","38","201","03","002","愛媛県","松山市","余土村","保免",0,1,0,0,0,0,0,0,0,0,1
"3820103003","38","201","03","003","愛媛県","松山市","余土村","余戸",0,1,0,0,0,0,0,0,0,0,1
"3820104001","38","201","04","001","愛媛県","松山市","浮穴村","井門",0,1,0,0,0,0,0,0,0,0,1
"3820104002","38","201","04","002","愛媛県","松山市","浮穴村","森松",0,1,0,0,0,0,0,0,0,0,1
"3820104003","38","201","04","003","愛媛県","松山市","浮穴村","南高井",0,1,0,0,0,0,0,0,0,0,1
"3820105001","38","201","05","001","愛媛県","松山市","久米村","南久米",0,1,0,0,0,0,0,0,0,0,1
"3820105002","38","201","05","002","愛媛県","松山市","久米村","北久米",0,1,0,0,0,0,0,0,0,0,1
"3820105003","38","201","05","003","愛媛県","松山市","久米村","福音寺",0,1,0,0,0,0,0,0,0,0,1
"3820105004","38","201","05","004","愛媛県","松山市","久米村","来住",0,1,0,0,0,0,0,0,0,0,1
"3820105005","38","201","05","005","愛媛県","松山市","久米村","南土居",0,1,0,0,0,0,0,0,0,0,1
"3820105006","38","201","05","006","愛媛県","松山市","久米村","高井",0,1,0,0,0,0,0,0,0,0,1
"3820105007","38","201","05","007","愛媛県","松山市","久米村","南窪田",0,1,0,0,0,0,0,0,0,0,1
"3820105008","38","201","05","008","愛媛県","松山市","久米村","北窪田",0,1,0,0,0,0,0,0,0,0,1
"3820105009","38","201","05","009","愛媛県","松山市","久米村","鷹子",0,1,0,0,0,0,0,0,0,0,1
"3820106001","38","201","06","001","愛媛県","松山市","湯山村","溝辺",0,1,0,0,0,0,0,0,0,0,1
"3820106002","38","201","06","002","愛媛県","松山市","湯山村","下高野",0,1,0,0,0,0,0,0,0,0,1
"3820106003","38","201","06","003","愛媛県","松山市","湯山村","上高野",0,1,0,0,0,0,0,0,0,0,1
"3820106004","38","201","06","004","愛媛県","松山市","湯山村","食場",0,1,0,0,0,0,0,0,0,0,1
"3820106005","38","201","06","005","愛媛県","松山市","湯山村","末",0,1,0,0,0,0,0,0,0,0,1
